team_name,field,formationName,captainPlayerId,captainPlayerName,period,startMinuteExpanded,endMinuteExpanded,playerIds,jerseyNumbers,formationSlots
Hamburg,home,343,401743,Miro Muheim,16,0,77,"[132896, 460456, 401743, 442403, 533010, 405170, 394924, 485118, 389899, 380644, 234353, 404258, 519100, 415817, 369480, 121975, 349102, 535020, 527354, 136707]","[1, 16, 28, 8, 44, 17, 20, 21, 11, 14, 7, 26, 22, 2, 24, 23, 6, 45, 38, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Hamburg,home,343,401743,Miro Muheim,16,77,77,"[132896, 460456, 401743, 442403, 533010, 405170, 394924, 485118, 389899, 349102, 234353, 404258, 519100, 415817, 369480, 121975, 380644, 535020, 527354, 136707]","[1, 16, 28, 8, 44, 17, 20, 21, 11, 6, 7, 26, 22, 2, 24, 23, 14, 45, 38, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Hamburg,home,343,401743,Miro Muheim,16,77,82,"[132896, 460456, 401743, 442403, 533010, 405170, 394924, 485118, 389899, 349102, 535020, 404258, 519100, 415817, 369480, 121975, 380644, 234353, 527354, 136707]","[1, 16, 28, 8, 44, 17, 20, 21, 11, 6, 45, 26, 22, 2, 24, 23, 14, 7, 38, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Hamburg,home,343,401743,Miro Muheim,2,82,88,"[132896, 460456, 401743, 442403, 533010, 405170, 349102, 485118, 389899, 527354, 535020, 404258, 519100, 415817, 369480, 121975, 136707]","[1, 16, 28, 8, 44, 17, 6, 21, 11, 38, 45, 26, 22, 2, 24, 23, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0]"
Hamburg,home,343,401743,Miro Muheim,2,88,89,"[132896, 460456, 401743, 442403, 533010, 405170, 349102, 485118, 136707, 527354, 535020, 404258, 519100, 415817, 369480, 121975, 389899]","[1, 16, 28, 8, 44, 17, 6, 21, 9, 38, 45, 26, 22, 2, 24, 23, 11]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0]"
Hamburg,home,343,401743,Miro Muheim,2,89,99,"[132896, 415817, 401743, 442403, 533010, 405170, 349102, 485118, 136707, 527354, 535020, 404258, 519100, 460456, 369480, 121975, 389899]","[1, 2, 28, 8, 44, 17, 6, 21, 9, 38, 45, 26, 22, 16, 24, 23, 11]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0]"
FC Heidenheim,away,4321,361425,Patrick Mainka,16,0,57,"[373154, 485191, 280715, 306637, 361425, 291623, 401079, 485051, 392643, 442494, 430704, 136812, 238699, 397260, 569917, 442253, 399262, 568236, 381691, 577306]","[41, 23, 19, 30, 6, 5, 3, 20, 29, 31, 22, 1, 2, 4, 28, 16, 21, 33, 9, 38]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
FC Heidenheim,away,4321,361425,Patrick Mainka,16,57,71,"[373154, 485191, 280715, 306637, 361425, 291623, 401079, 399262, 392643, 442494, 430704, 136812, 238699, 397260, 569917, 442253, 485051, 568236, 381691, 577306]","[41, 23, 19, 30, 6, 5, 3, 21, 29, 31, 22, 1, 2, 4, 28, 16, 20, 33, 9, 38]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
FC Heidenheim,away,4321,361425,Patrick Mainka,2,71,81,"[373154, 485191, 280715, 306637, 238699, 361425, 430704, 399262, 392643, 442494, 381691, 136812, 397260, 569917, 442253, 568236, 577306]","[41, 23, 19, 30, 2, 6, 22, 21, 29, 31, 9, 1, 4, 28, 16, 33, 38]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0]"
FC Heidenheim,away,4321,361425,Patrick Mainka,2,81,81,"[373154, 485191, 280715, 306637, 238699, 361425, 430704, 399262, 569917, 442494, 381691, 136812, 397260, 392643, 442253, 568236, 577306]","[41, 23, 19, 30, 2, 6, 22, 21, 28, 31, 9, 1, 4, 29, 16, 33, 38]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0]"
FC Heidenheim,away,4321,361425,Patrick Mainka,2,81,82,"[373154, 485191, 280715, 306637, 238699, 361425, 577306, 399262, 569917, 442494, 381691, 136812, 397260, 392643, 442253, 568236, 430704]","[41, 23, 19, 30, 2, 6, 38, 21, 28, 31, 9, 1, 4, 29, 16, 33, 22]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0]"
FC Heidenheim,away,4321,361425,Patrick Mainka,2,82,99,"[373154, 485191, 280715, 306637, 238699, 361425, 569917, 399262, 381691, 442494, 577306, 136812, 397260, 442253, 568236]","[41, 23, 19, 30, 2, 6, 28, 21, 9, 31, 38, 1, 4, 16, 33]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0]"
